Continental Region,2014,2015,2016,2017,2018,2019,2022
Africa,0.55,0.56,0.67,0.72,0.65,0.66,0.57
Asia,0.55,0.56,0.67,0.72,0.65,0.66,0.57
Atlantic MDR,0.52,0.50,0.83,0.83,0.61,0.40,0.68
Caribbean,0.62,0.65,0.92,0.91,0.77,0.55,0.74
East Pacific,0.61,1.19,1.42,0.84,0.85,0.82,0.56
Europe,1.10,1.75,1.55,1.40,1.54,1.68,1.29
North America,0.50,1.03,1.89,1.68,1.19,0.86,1.18
Northern Hemisphere,0.82,0.97,1.22,1.32,1.19,1.09,1.17
Oceania,1.10,0.91,1.32,0.78,1.12,1.06,1.00
South America,0.78,1.22,1.44,1.18,1.11,1.16,1.01
